Modelo,Accuracy,Precision,Recall,F1 Score,ROC AUC
"MLP (100,) (Otimizado)",0.9285714285714286,0.9411764705882353,0.9285714285714286,0.9277419354838711,0.9812925170068029
GradBoost 150 (Otimizado),0.9285714285714286,0.9411764705882353,0.9285714285714286,0.9277419354838711,0.9804421768707483
GradBoost 200 (Otimizado),0.9047619047619048,0.9097222222222221,0.9047619047619048,0.9042735042735043,0.9821428571428571
SVM sigmoid (Otimizado),0.9047619047619048,0.9097222222222221,0.9047619047619048,0.9042735042735043,0.9812925170068026
LogReg 86 (Otimizado),0.9047619047619048,0.9097222222222221,0.9047619047619048,0.9042735042735043,0.9889455782312925
ExtraTrees 50 (Otimizado),0.9047619047619048,0.9097222222222221,0.9047619047619048,0.9042735042735043,0.979591836734694
LogReg 14 (Otimizado),0.9047619047619048,0.9097222222222221,0.9047619047619048,0.9042735042735043,0.9889455782312925
ExtraTrees 150 (Otimizado),0.9047619047619048,0.9259259259259258,0.9047619047619048,0.9027777777777779,0.9761904761904763
AdaBoost 200 (Otimizado),0.9047619047619048,0.9259259259259258,0.9047619047619048,0.9027777777777779,0.9319727891156463
RandForest 50 (Otimizado),0.8809523809523809,0.8820512820512821,0.8809523809523809,0.8808003405704555,0.9715136054421768
QDA (Otimizado),0.8809523809523809,0.8912655971479501,0.8809523809523809,0.8795698924731183,0.983843537414966
KNN 5 (Otimizado),0.8809523809523809,0.8849747474747476,0.8809523809523809,0.8773946360153256,0.9723639455782314
KNN 7 (Otimizado),0.8809523809523809,0.8849747474747476,0.8809523809523809,0.8773946360153256,0.9723639455782314
Bagging DT d10 (Otimizado),0.8809523809523809,0.912280701754386,0.8809523809523809,0.8770311813790075,0.9689625850340136
RandForest 200 (Otimizado),0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9744897959183674
RandForest 100 (Otimizado),0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.9676870748299319
Naive Bayes 34 (Otimizado),0.8571428571428571,0.8611111111111113,0.8571428571428571,0.8564102564102564,0.9676870748299319
DecTree dNone (Otimizado),0.8333333333333334,0.8468013468013469,0.8333333333333334,0.8318209876543209,0.875
DecTree d3 (Otimizado),0.8333333333333334,0.8468013468013469,0.8333333333333334,0.8318209876543209,0.875
